id,name,accuracy,power,type,pp,effect_chance,priority,damage_class,generation_introduced,description,short_description,category
601,geomancy,,,fairy,10,,0,status,generation-vi,"Takes one turn to charge, then raises the user’s Special Attack, Special Defense, and Speed by two stages.","Takes one turn to charge, then raises the user’s Special Attack, Special Defense, and Speed by two stages.",
602,magnetic-flux,,,electric,20,,0,status,generation-vi,Raises the Defense and Special Defense of all friendly Pokémon with plus or minus by one stage.,Raises the Defense and Special Defense of all friendly Pokémon with plus or minus by one stage.,
603,happy-hour,,,normal,30,,0,status,generation-vi,"Doubles prize money.

Stacks with a held item.  Only works once per battle.",Doubles prize money.,
604,electric-terrain,,,electric,10,,0,status,generation-vi,"For five turns, prevents all Pokémon on the ground from sleeping and strengthens their electric moves to 1.5× their power.

Changes nature power to thunderbolt.","For five turns, prevents all Pokémon on the ground from sleeping and strengthens their electric moves to 1.5× their power.",
605,dazzling-gleam,100.0,80.0,fairy,10,,0,special,generation-vi,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
606,celebrate,,,normal,40,,0,status,generation-vi,Does nothing.,Does nothing.,
607,hold-hands,,,normal,40,,0,status,generation-vi,Does nothing.,Does nothing.,
608,baby-doll-eyes,100.0,,fairy,30,,1,status,generation-vi,Lowers the target’s Attack by one stage.,Lowers the target’s Attack by one stage.,
609,nuzzle,100.0,20.0,electric,20,100.0,0,physical,generation-vi,Inflicts regular damage.  Has a 100% chance to paralyze the target.,Has a 100% chance to paralyze the target.,
610,hold-back,100.0,40.0,normal,40,,0,physical,generation-vi,Inflicts regular damage.  Will not reduce the target’s HP below 1.,Cannot lower the target’s HP below 1.,
611,infestation,100.0,20.0,bug,20,100.0,0,special,generation-vi,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.,
612,power-up-punch,100.0,40.0,fighting,20,100.0,0,physical,generation-vi,Inflicts regular damage.  Raises the user’s Attack by one stage.,Raises the user’s Attack by one stage after inflicting damage.,punching
613,oblivion-wing,100.0,80.0,flying,10,,0,special,generation-vi,Deals regular damage.  Drains 75% of the damage inflicted to heal the user.,Drains 75% of the damage inflicted to heal the user.,
614,thousand-arrows,100.0,90.0,ground,10,100.0,0,physical,generation-vi,Inflicts regular damage.  Grounds the target until it leaves battle.  Ignores levitation effects and the immunity of flying-type Pokémon.,"Grounds the target, and hits even Flying-type or levitating Pokémon.",
615,thousand-waves,100.0,90.0,ground,10,,0,physical,generation-vi,Inflicts regular damage.  Traps the target.,Prevents the target from leaving battle.,
616,lands-wrath,100.0,90.0,ground,10,,0,physical,generation-vi,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
617,light-of-ruin,90.0,140.0,fairy,5,,0,special,generation-vi,Inflicts regular damage.  User takes 1/2 the damage it inflicts in recoil.,User receives 1/2 the damage inflicted in recoil.,
618,origin-pulse,85.0,110.0,water,10,,0,special,generation-vi,Inflicts regular damage.,Inflicts regular damage with no additional effect.,aura and pulse
619,precipice-blades,85.0,120.0,ground,10,,0,physical,generation-vi,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
620,dragon-ascent,100.0,120.0,flying,5,100.0,0,physical,generation-vi,"Inflicts regular damage, then lowers the user’s Defense and Special Defense by one stage each.",Lowers the user’s Defense and Special Defense by one stage after inflicting damage.,
621,hyperspace-fury,,100.0,dark,5,100.0,0,physical,generation-vi,Inflicts regular damage.  Bypasses and removes any protection effect on the target.,Ignores and destroys protection effects.,
622,breakneck-blitz--physical,,,normal,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
623,breakneck-blitz--special,,,normal,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
624,all-out-pummeling--physical,,,fighting,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
625,all-out-pummeling--special,,,fighting,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
626,supersonic-skystrike--physical,,,flying,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
627,supersonic-skystrike--special,,,flying,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
628,acid-downpour--physical,,,poison,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
629,acid-downpour--special,,,poison,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
630,tectonic-rage--physical,,,ground,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
631,tectonic-rage--special,,,ground,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
632,continental-crush--physical,,,rock,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
633,continental-crush--special,,,rock,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
634,savage-spin-out--physical,,,bug,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
635,savage-spin-out--special,,,bug,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
636,never-ending-nightmare--physical,,,ghost,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
637,never-ending-nightmare--special,,,ghost,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
638,corkscrew-crash--physical,,,steel,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
639,corkscrew-crash--special,,,steel,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
640,inferno-overdrive--physical,,,fire,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
641,inferno-overdrive--special,,,fire,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
642,hydro-vortex--physical,,,water,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
643,hydro-vortex--special,,,water,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
644,bloom-doom--physical,,,grass,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
645,bloom-doom--special,,,grass,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
646,gigavolt-havoc--physical,,,electric,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
647,gigavolt-havoc--special,,,electric,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
648,shattered-psyche--physical,,,psychic,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
649,shattered-psyche--special,,,psychic,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
650,subzero-slammer--physical,,,ice,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
651,subzero-slammer--special,,,ice,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
652,devastating-drake--physical,,,dragon,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
653,devastating-drake--special,,,dragon,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
654,black-hole-eclipse--physical,,,dark,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
655,black-hole-eclipse--special,,,dark,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
656,twinkle-tackle--physical,,,fairy,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
657,twinkle-tackle--special,,,fairy,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
658,catastropika,,210.0,electric,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
659,shore-up,,,ground,5,,0,status,generation-vii,"Heals the user for ½ its max HP.  During a sandstorm, the healing is increased to ⅔.","Heals the user for ½ its max HP, or ⅔ during a sandstorm.",
660,first-impression,100.0,90.0,bug,10,,2,physical,generation-vii,Inflicts regular damage. Can only be used on the user’s first turn after entering the field.,Can only be used as the first move after the user enters battle.,
661,baneful-bunker,,,poison,10,,4,status,generation-vii,"Grants the user protection for the rest of the turn.  If a Pokémon attempts to use a move that makes contact with the user, that Pokémon will be poisoned.  This move’s chance of success halves every time it’s used consecutively with any other protection move.",Grants the user protection for the rest of the turn and poisons any Pokémon that tries to use a contact move on it.,
662,spirit-shackle,100.0,80.0,ghost,10,,0,physical,generation-vii,Inflicts regular damage.  Traps the target.,Traps the target.,
663,darkest-lariat,100.0,85.0,dark,10,,0,physical,generation-vii,"Inflicts regular damage.  Damage calculation ignores the target’s stat modifiers, including evasion.",Ignores the target’s stat modifiers.,
664,sparkling-aria,100.0,90.0,water,10,,0,special,generation-vii,"Inflicts regular damage.  If the target has a burn and takes damage from this move, its burn is healed.",Cures the target of burns.,sound-based
665,ice-hammer,90.0,100.0,ice,10,100.0,0,physical,generation-vii,"Inflicts regular damage, then lowers the user’s Speed by one stage.",Lowers user’s Speed by one stage.,punching
666,floral-healing,,,fairy,10,,0,status,generation-vii,"Heals the target for ½ its max HP.  If grassy terrain is in effect, heals for ⅔ instead.","Heals the target for ½ its max HP, or ⅔ on Grassy Terrain.",
667,high-horsepower,95.0,95.0,ground,10,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
668,strength-sap,100.0,,grass,10,100.0,0,status,generation-vii,"Lowers the target’s Attack by one stage.  Heals the user by the target’s current Attack, including modifiers, but not including this move’s Attack-lowering effect.

If the target’s Attack is already at -6, this move will fail.  In any other situation that would prevent a stat modification, the healing will still succeed.",Heals the user by the target’s current Attack stat and lowers the target’s Attack by one stage.,
669,solar-blade,100.0,125.0,grass,10,,0,physical,generation-vii,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.",Requires a turn to charge before attacking.,slicing
670,leafage,100.0,40.0,grass,40,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
671,spotlight,,,normal,15,,3,status,generation-vii,"For the duration of the turn, if the target is also a valid target for a move used by one of its opponents, that move will target it instead.",Forces the target’s opponents to aim at the target for the rest of the turn.,
672,toxic-thread,100.0,,poison,20,100.0,0,status,generation-vii,Poisons the target and lowers its Speed by one stage.,Poisons the target and lowers its Speed by one stage.,
673,laser-focus,,,normal,30,,0,status,generation-vii,The user’s next move will result in a critical hit.,Guarantees a critical hit with the user’s next move.,
674,gear-up,,,steel,20,,0,status,generation-vii,Raises the Attack and Special Attack of all friendly Pokémon with plus or minus by one stage.,Raises the Attack and Special Attack of all friendly Pokémon with plus or minus by one stage.,
675,throat-chop,100.0,80.0,dark,15,100.0,0,physical,generation-vii,"Inflicts regular damage.  Silences the target for two turns, preventing it from using any sound-based moves.",Prevents the target from using sound-based moves for two turns.,
676,pollen-puff,100.0,90.0,bug,15,,0,special,generation-vii,"If the target is an opponent, inflicts regular damage.  If the target is an ally, heals the target for 50% of its max HP.","Damages opponents, but heals allies for 50% of their max HP.",ball and bomb
677,anchor-shot,100.0,80.0,steel,20,,0,physical,generation-vii,Inflicts regular damage.  Traps the target.,Traps the target.,
678,psychic-terrain,,,psychic,10,,0,status,generation-vii,"Changes the terrain to Psychic Terrain for 5 turns.  Overrides electric terrain, grassy terrain, and misty terrain.

All Pokémon on the ground are immune to moves with priority greater than 0.  (Moves that target the field rather than individual Pokémon, such as spikes, are not affected.)  Additionally, when a Pokémon on the ground uses a psychic-type move, that move’s power is increased to 1.5×.

If a Pokémon is holding a Terrain Extender when creating Psychic Terrain (by any means), the effect lasts for 8 turns instead of 5.",Protects Pokémon on the ground from priority moves and increases the power of their  Psychic moves by 50%.,
679,lunge,100.0,80.0,bug,15,100.0,0,physical,generation-vii,Inflicts regular damage.  Lowers the target’s Attack by one stage.,Lowers the target’s Attack by one stage after inflicting damage.,
680,fire-lash,100.0,80.0,fire,15,100.0,0,physical,generation-vii,Inflicts regular damage.  Lowers the target’s Defense by one stage.,Lowers the target’s Defense by one stage after inflicting damage.,
681,power-trip,100.0,20.0,dark,10,,0,physical,generation-vii,"Inflicts regular damage.  Power is increased by 100% its original value for every stage any of the user’s stats have been raised.  Accuracy, evasion, and lowered stats do not affect this move’s power.  For a Pokémon with all five stats modified to +6, this move’s power is 31×.","Power is higher the more the user’s stats have been raised, to a maximum of 31×.",
682,burn-up,100.0,130.0,fire,5,,0,special,generation-vii,"Inflicts regular damage.  Removes the user’s fire type after damage calculation.  If the user is not fire-type, this move will fail.",Removes the user’s fire type after inflicting damage.,
683,speed-swap,,,psychic,10,,0,status,generation-vii,Exchanges the original Speed stats of the user and target.,Exchanges the user’s Speed with the target’s.,
684,smart-strike,,70.0,steel,10,,0,physical,generation-vii,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,Never misses.,
685,purify,,,poison,20,,0,status,generation-vii,"Cures the target of its major status ailment and heals the user for 50% of its max HP.  If the target has no major status ailment, this move will fail.",Cures the target of a major status ailment and heals the user for 50% of its max HP.,
686,revelation-dance,100.0,90.0,normal,15,,0,special,generation-vii,"Inflicts regular damage.  This move’s type matches the user’s first type, if any; otherwise, it’s typeless.",Has the same type as the user.,dance
687,core-enforcer,100.0,100.0,dragon,10,,0,special,generation-vii,"Inflicts regular damage.  If the target has already moved this turn, its ability is nullified.",Nullifies the target’s ability if it moves earlier.,
688,trop-kick,100.0,70.0,grass,15,100.0,0,physical,generation-vii,Inflicts regular damage.  Lowers the target’s Attack by one stage.,Lowers the target’s Attack by one stage after inflicting damage.,
689,instruct,,,psychic,15,,0,status,generation-vii,"The target immediately uses its most recently-used move.  This is independent of the target’s normal action for the turn (i.e., it may end up moving twice), but otherwise functions as usual, including deduction of PP.  This effect works for disabled moves and ignores torment.",Forces the target to repeat its last used move.,
690,beak-blast,100.0,100.0,flying,15,,-3,physical,generation-vii,"Begins charging at the start of the turn, then attacks as normal.  Any Pokémon that makes contact with the user while charging is burned.  The charging is not affected by accuracy, sleep, paralysis, or any other effect that would interfere with a move.",Inflicts a burn on any Pokémon that makes contact before the attack.,ball and bomb
691,clanging-scales,100.0,110.0,dragon,5,100.0,0,special,generation-vii,Inflicts regular damage.  Lowers the user’s Defense by one stage.,Lowers the user’s Defense by one stage after inflicting damage.,sound-based
692,dragon-hammer,100.0,90.0,dragon,15,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
693,brutal-swing,100.0,60.0,dark,20,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
694,aurora-veil,,,ice,20,,0,status,generation-vii,"Places the Aurora Veil effect on the user’s side of the field for the next 5 turns.  If the weather is not hail, or the weather is disabled by the effects of cloud nine or air lock, this move will fail.

Any regular damage dealt to an affected Pokémon is reduced by ½.  (If there are multiple Pokémon on the affected field, the reduction is ⅓.)","Reduces damage five turns, but must be used during hail.",
695,sinister-arrow-raid,,180.0,ghost,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
696,malicious-moonsault,,180.0,dark,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
697,oceanic-operetta,,195.0,water,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
698,guardian-of-alola,,,fairy,1,,0,special,generation-vii,Inflicts direct damage equal to ¾ of the target’s remaining HP.,Damages the target for 75% of its remaining HP.,damaging z-move
699,soul-stealing-7-star-strike,,195.0,ghost,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
700,stoked-sparksurfer,,175.0,electric,1,100.0,0,special,generation-vii,Inflicts regular damage.  Has a 100% chance to paralyze the target.,Has a 100% chance to paralyze the target.,damaging z-move
701,pulverizing-pancake,,210.0,normal,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
702,extreme-evoboost,,,normal,1,100.0,0,status,generation-vii,"Raises the user’s Attack, Defense, Special Attack, Special Defense, and Speed by two stages each.",Raises all of the user’s stats by two stages.,
703,genesis-supernova,,185.0,psychic,1,,0,special,generation-vii,"Inflicts regular damage, then (if successful) changes the terrain to psychic terrain.",Changes the terrain to Psychic Terrain after inflicting damage.,damaging z-move
704,shell-trap,100.0,150.0,fire,5,,-3,special,generation-vii,"Inflicts regular damage.  If the user was not yet hit by an opponent’s physical move this turn, this move will fail.",Only inflicts damage if the user was hit by a physical move this turn.,
705,fleur-cannon,90.0,130.0,fairy,5,100.0,0,special,generation-vii,"Inflicts regular damage, then lowers the user’s Special Attack by two stages.",Lowers the user’s Special Attack by two stages after inflicting damage.,
706,psychic-fangs,100.0,85.0,psychic,10,,0,physical,generation-vii,"Destroys any light screen or reflect on the target’s side of the field, then inflicts regular damage.",Destroys Reflect and Light Screen.,biting
707,stomping-tantrum,100.0,75.0,ground,10,,0,physical,generation-vii,"Inflicts regular damage.  Power is doubled if the user’s last move failed for any reason (i.e., produced the message ""But it failed!"") or was ineffective due to types.",Has double power if the user’s last move failed.,
708,shadow-bone,100.0,85.0,ghost,10,20.0,0,physical,generation-vii,Inflicts regular damage.  Has a 20% chance to lower the target’s Defense by one stage.,Has a 20% chance to lower the target’s Defense by one stage.,
709,accelerock,100.0,40.0,rock,20,,1,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
710,liquidation,100.0,85.0,water,10,20.0,0,physical,generation-vii,Inflicts regular damage.  Has a 20% chance to lower the target’s Defense by one stage.,Has a 20% chance to lower the target’s Defense by one stage.,
711,prismatic-laser,100.0,160.0,psychic,10,,0,special,generation-vii,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.,
712,spectral-thief,100.0,90.0,ghost,10,,0,physical,generation-vii,"Steals the target’s stat increases, then inflicts regular damage.  Will not steal stat increases that would put any of the user’s stats at more than +6; any excess is left on the target.  Stolen increases are affected by abilities as normal.","Steals the target’s stat increases, then inflicts damage.",
713,sunsteel-strike,100.0,100.0,steel,5,,0,physical,generation-vii,"Inflicts regular damage.  Other Pokémon’s abilities cannot activate in response to this move.  In particular, it hits through disguise",Cannot be disrupted by abilities.,
714,moongeist-beam,100.0,100.0,ghost,5,,0,special,generation-vii,"Inflicts regular damage.  Other Pokémon’s abilities cannot activate in response to this move.  In particular, it hits through disguise",Cannot be disrupted by abilities.,
715,tearful-look,,,normal,20,100.0,0,status,generation-vii,Lowers the target’s Attack and Special Attack by one stage each.,Lowers the target’s Attack and Special Attack by one stage.,
716,zing-zap,100.0,80.0,electric,10,30.0,0,physical,generation-vii,Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,
717,natures-madness,90.0,,fairy,10,,0,special,generation-vii,Inflicts typeless damage equal to half the target’s remaining HP.,Inflicts damage equal to half the target’s HP.,
718,multi-attack,100.0,120.0,normal,10,,0,physical,generation-vii,"Inflicts regular damage.  If the user is holding a plate or a drive, this move’s type is the type corresponding to that item.

Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates.","If the user is holding a appropriate plate or drive, the damage inflicted will match it.",
719,10-000-000-volt-thunderbolt,,195.0,electric,1,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
720,mind-blown,100.0,150.0,fire,5,,0,special,generation-vii,"Inflicts damage, and the user takes damage equal to half of its max HP, rounded up. The user still takes damage if the move is blocked by Protect or Substitute, misses, or if the target has Flash Fire.","Inflicts damage, and the user takes damage equal to half of its max HP, rounded up.",explosive
721,plasma-fists,100.0,100.0,electric,15,,0,physical,generation-vii,"After inflicting damage, all Normal-type moves become Electric-type for the remainder of the turn, including status moves. This effect is applied after move type-changing abilities, such as Pixilate and Normalize.","After inflicting damage, causes all Normal-type moves to become Electric-type for the remainder of the turn.",punching
722,photon-geyser,100.0,100.0,psychic,5,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
723,light-that-burns-the-sky,,200.0,psychic,1,,0,special,generation-vii,"Inflicts damage using either Attack or Special Attack stat, whichever is higher. Determining which stat is used takes into account stat changes but not held items or abilities.","Inflicts damage using either Attack or Special Attack stat, whichever is higher.",damaging z-move
724,searing-sunraze-smash,,200.0,steel,1,,0,physical,generation-vii,"Inflicts regular damage.  Other Pokémon’s abilities cannot activate in response to this move.  In particular, it hits through disguise",Cannot be disrupted by abilities.,damaging z-move
725,menacing-moonraze-maelstrom,,200.0,ghost,1,,0,special,generation-vii,"Inflicts regular damage.  Other Pokémon’s abilities cannot activate in response to this move.  In particular, it hits through disguise",Cannot be disrupted by abilities.,damaging z-move
726,lets-snuggle-forever,,190.0,fairy,1,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,damaging z-move
727,splintered-stormshards,,190.0,rock,1,,0,physical,generation-vii,Inflicts damage and removes any terrain present on the battlefield.,Inflicts damage and removes any terrain present on the battlefield.,damaging z-move
728,clangorous-soulblaze,,185.0,dragon,1,100.0,0,special,generation-vii,"Inflicts sound-based damage to all opposing Pokémon and increases the user’s Attack, Defense, Special Attack, Special Defense, and Speed by one stage each. The user’s stats are not raised if the move fails to damage any opposing Pokémon.","Inflicts damage to all opposing Pokémon and increases the user’s Attack, Defense, Special Attack, Special Defense, and Speed by one stage each.",damaging z-move
729,zippy-zap,100.0,80.0,electric,10,100.0,2,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
730,splishy-splash,100.0,90.0,water,15,30.0,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
731,floaty-fall,95.0,90.0,flying,15,30.0,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
732,pika-papow,,,electric,20,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
733,bouncy-bubble,100.0,60.0,water,20,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
734,buzzy-buzz,100.0,60.0,electric,20,100.0,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
735,sizzly-slide,100.0,60.0,fire,20,100.0,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
736,glitzy-glow,95.0,80.0,psychic,15,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
737,baddy-bad,95.0,80.0,dark,15,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
738,sappy-seed,90.0,100.0,grass,10,100.0,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
739,freezy-frost,90.0,100.0,ice,10,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
740,sparkly-swirl,85.0,120.0,fairy,5,,0,special,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
741,veevee-volley,,,normal,20,,0,physical,generation-vii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
742,double-iron-bash,100.0,60.0,steel,5,30.0,0,physical,generation-vii,Inflicts regular damage.  Hits twice in one turn.,Hits twice in one turn.,punching
743,max-guard,,,normal,10,,4,status,generation-viii,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse’s curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move’s protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome.",Prevents any moves from hitting the user this turn.,max
744,dynamax-cannon,100.0,100.0,dragon,5,,0,special,generation-viii,"Inflicts regular damage, then (if successful) sets light screen on the user’s side of the field.",Sets Light Screen on the user’s side of the field after inflicting damage.,
745,snipe-shot,100.0,80.0,water,15,,0,special,generation-viii,"Inflicts regular damage, then (if successful) sets reflect on the user’s side of the field.",Sets Reflect on the user’s side of the field after inflicting damage.,
746,jaw-lock,100.0,80.0,dark,10,,0,physical,generation-viii,"Inflicts regular damage, then (if successful) sets leech seed on the target.",Seeds the target after inflicting damage.,biting
747,stuff-cheeks,,,normal,10,100.0,0,status,generation-viii,"Inflicts regular damage, then (if successful) removes major status effects from every Pokémon in the user’s party.",Cures the entire party of major status effects after inflicting damage.,
748,no-retreat,,,fighting,5,100.0,0,status,generation-viii,"Inflicts regular damage.  Hits twice in one turn, with a 100% chance to make the target flinch.","Hits twice in one turn, with a 100% chance to make the target flinch.",
749,tar-shot,100.0,,rock,15,100.0,0,status,generation-viii,,,
750,magic-powder,100.0,,psychic,20,,0,status,generation-viii,,,powder and spore
751,dragon-darts,100.0,50.0,dragon,10,,0,physical,generation-viii,,,
752,teatime,,,normal,10,,0,status,generation-viii,,,
753,octolock,100.0,,fighting,15,,0,status,generation-viii,,,
754,bolt-beak,100.0,85.0,electric,10,,0,physical,generation-viii,,,
755,fishious-rend,100.0,85.0,water,10,,0,physical,generation-viii,,,biting
756,court-change,100.0,,normal,10,,0,status,generation-viii,,,
757,max-flare,,100.0,fire,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
758,max-flutterby,,10.0,bug,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
759,max-lightning,,10.0,electric,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
760,max-strike,,10.0,normal,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
761,max-knuckle,,10.0,fighting,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
762,max-phantasm,,10.0,ghost,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
763,max-hailstorm,,10.0,ice,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
764,max-ooze,,10.0,poison,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
765,max-geyser,,10.0,water,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
766,max-airstream,,10.0,flying,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
767,max-starfall,,10.0,fairy,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
768,max-wyrmwind,,10.0,dragon,10,,0,physical,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,max
